Time (fs);Temporal profile (arb. u.);FTL temporal profile (arb. u.);Temporal phase (rad)
-17333.925;0.00038;0.00013;-28.5753
-17060.9498;0.00076;0.00014;-28.4202
-16787.97461;0.00114;0.00014;-28.2663
-16514.99941;0.00142;0.00013;-28.0672
-16242.02421;0.00158;0.0001;-27.8096
-15969.04902;0.00168;0.00007;-27.508
-15696.07382;0.00175;0.00007;-27.1896
-15423.09862;0.00175;0.00008;-26.8729
-15150.12343;0.00167;0.00009;-26.5523
-14877.14823;0.00156;0.00009;-26.2253
-14604.17303;0.00145;0.00007;-25.8855
-14331.19783;0.00134;0.00008;-25.5423
-14058.22264;0.00126;0.00013;-25.1918
-13785.24744;0.00117;0.00019;-24.8331
-13512.27224;0.00111;0.00021;-24.4616
-13239.29705;0.00109;0.00019;-24.0864
-12966.32185;0.00111;0.00017;-23.7123
-12693.34665;0.00117;0.00018;-23.3441
-12420.37146;0.00131;0.00022;-22.9747
-12147.39626;0.00151;0.00025;-22.6017
-11874.42106;0.0018;0.00023;-22.2159
-11601.44587;0.00217;0.00016;-21.8132
-11328.47067;0.00259;0.00009;-21.3839
-11055.49547;0.00303;0.00003;-20.9262
-10782.52028;0.00348;0.00001;-20.4385
-10509.54508;0.00388;0.00001;-19.9232
-10236.56988;0.00421;0.00001;-19.376
-9963.59469;0.00449;0.00004;-18.7983
-9690.61949;0.00478;0.00009;-18.1961
-9417.64429;0.00512;0.00018;-17.5767
-9144.66909;0.00561;0.00028;-16.9445
-8871.6939;0.00641;0.00037;-16.3133
-8598.7187;0.00758;0.0004;-15.6937
-8325.7435;0.00918;0.00034;-15.0885
-8052.76831;0.01136;0.0002;-14.4988
-7779.79311;0.01415;0.00009;-13.928
-7506.81791;0.01752;0.0001;-13.3709
-7233.84272;0.02155;0.00029;-12.8233
-6960.86752;0.02626;0.00061;-12.2818
-6687.89232;0.03141;0.00085;-11.7415
-6414.91713;0.03677;0.00086;-11.1965
-6141.94193;0.042;0.00064;-10.6458
-5868.96673;0.04669;0.00052;-10.0875
-5595.99154;0.05068;0.001;-9.52192
-5323.01634;0.05387;0.00241;-8.94935
-5050.04114;0.05671;0.00431;-8.36884
-4777.06594;0.06022;0.0056;-7.78218
-4504.09075;0.06587;0.00542;-7.19315
-4231.11555;0.07567;0.00412;-6.60805
-3958.14035;0.09191;0.00298;-6.03622
-3685.16516;0.11642;0.00345;-5.48513
-3412.18996;0.15012;0.00638;-4.95833
-3139.21476;0.19209;0.01107;-4.45631
-2866.23957;0.24132;0.01465;-3.97881
-2593.26437;0.29814;0.0135;-3.52994
-2320.28917;0.36347;0.00697;-3.11148
-2047.31398;0.44157;0.00061;-2.71587
-1774.33878;0.54485;0.00443;-2.33214
-1501.36358;0.6838;0.02761;-1.95481
-1228.38839;0.84113;0.0794;-1.5779
-955.41319;0.96572;0.18012;-1.19334
-682.43799;1;0.36023;-0.80626
-409.4628;0.90853;0.62255;-0.4451
-136.4876;0.70588;0.88507;-0.1571
136.4876;0.48537;1;0
409.4628;0.36363;0.88507;0
682.43799;0.3704;0.62255;-0.03662
955.41319;0.43191;0.36023;0.02245
1228.38839;0.45085;0.18012;0.14054
1501.36358;0.39598;0.0794;0.22943
1774.33878;0.31937;0.02761;0.22546
2047.31398;0.28021;0.00443;0.14106
2320.28917;0.27805;0.00061;0.06507
2593.26437;0.27524;0.00697;0.0363
2866.23957;0.25076;0.0135;0.02163
3139.21476;0.21373;0.01465;-0.01925
3412.18996;0.18237;0.01107;-0.09682
3685.16516;0.16185;0.00638;-0.18429
3958.14035;0.14227;0.00345;-0.25953
4231.11555;0.11686;0.00298;-0.34566
4504.09075;0.09306;0.00412;-0.48041
4777.06594;0.0788;0.00542;-0.65133
5050.04114;0.06996;0.0056;-0.81084
5323.01634;0.05971;0.00431;-0.96124
5595.99154;0.04876;0.00241;-1.14005
5868.96673;0.04092;0.001;-1.35379
6141.94193;0.03599;0.00052;-1.56813
6414.91713;0.03126;0.00064;-1.77344
6687.89232;0.02647;0.00086;-1.99437
6960.86752;0.02294;0.00085;-2.23471
7233.84272;0.02054;0.00061;-2.47267
7506.81791;0.01838;0.00029;-2.7048
7779.79311;0.01632;0.0001;-2.94356
8052.76831;0.01471;0.00009;-3.18896
8325.7435;0.0133;0.0002;-3.429
8598.7187;0.01179;0.00034;-3.67214
8871.6939;0.01045;0.0004;-3.93346
9144.66909;0.0096;0.00037;-4.20478
9417.64429;0.00906;0.00028;-4.47027
9690.61949;0.00856;0.00018;-4.72974
9963.59469;0.00806;0.00009;-4.98977
10236.56988;0.0076;0.00004;-5.24951
10509.54508;0.00715;0.00001;-5.51745
10782.52028;0.00692;0.00001;-5.79215
11055.49547;0.0069;0.00001;-6.05941
11328.47067;0.00682;0.00003;-6.31336
11601.44587;0.0066;0.00009;-6.57672
11874.42106;0.00645;0.00016;-6.85857
12147.39626;0.00654;0.00023;-7.15023
12420.37146;0.00666;0.00025;-7.43582
12693.34665;0.00664;0.00022;-7.72298
12966.32185;0.00641;0.00018;-8.02016
13239.29705;0.00609;0.00017;-8.32391
13512.27224;0.00563;0.00019;-8.63506
13785.24744;0.00506;0.00021;-8.94536
14058.22264;0.00437;0.00019;-9.26843
14331.19783;0.00357;0.00013;-9.6174
14604.17303;0.00287;0.00008;-10.0158
14877.14823;0.0023;0.00007;-10.465
15150.12343;0.00185;0.00009;-10.9476
15423.09862;0.00151;0.00009;-11.446
15696.07382;0.00121;0.00008;-11.9049
15969.04902;0.00091;0.00007;-12.2781
16242.02421;0.00058;0.00007;-12.5509
16514.99941;0.0003;0.0001;-12.6776
16787.97461;0.00011;0.00013;-12.5416
17060.9498;0.00004;0.00014;-11.6811
17333.925;0.00013;0.00014;-10.7758
