Wavelength (nm);Pulsation (Prad);Spectral intensity (arb. u.);Spectral phase (rad);Phase fit (rad)
1037.77998;1.81508;0;;
1037.67636;1.81526;0;;
1037.57277;1.81544;0;;
1037.4692;1.81562;0;;
1037.36564;1.8158;0;;
1037.26211;1.81598;0;;
1037.1586;1.81617;0;;
1037.05511;1.81635;0;;
1036.95164;1.81653;0;;
1036.84819;1.81671;0;;
1036.74477;1.81689;0;;
1036.64136;1.81707;0;;
1036.53797;1.81725;0;;
1036.4346;1.81743;0;;
1036.33126;1.81762;0;;
1036.22793;1.8178;0;;
1036.12463;1.81798;0;;
1036.02134;1.81816;0;;
1035.91808;1.81834;0;;
1035.81484;1.81852;0;;
1035.71162;1.8187;0;;
1035.60841;1.81888;0;;
1035.50523;1.81907;0;;
1035.40207;1.81925;0;;
1035.29893;1.81943;0;;
1035.19581;1.81961;0;;
1035.09271;1.81979;0;;
1034.98964;1.81997;0;;
1034.88658;1.82015;0;;
1034.78354;1.82033;0;;
1034.68052;1.82052;0;;
1034.57753;1.8207;0;;
1034.47455;1.82088;0;;
1034.3716;1.82106;0;;
1034.26866;1.82124;0;;
1034.16575;1.82142;0;;
1034.06285;1.8216;0;;
1033.95998;1.82178;0;;
1033.85713;1.82197;0;;
1033.75429;1.82215;0;;
1033.65148;1.82233;0;;
1033.54869;1.82251;0.00001;;
1033.44592;1.82269;0.00004;;
1033.34317;1.82287;0.00012;38.6489;45.599
1033.24044;1.82305;0.00026;36.0788;40.059
1033.13773;1.82323;0.00045;33.4906;35.5552
1033.03504;1.82341;0.00072;30.9167;31.7577
1032.93237;1.8236;0.00127;28.197;28.4273
1032.82972;1.82378;0.00288;25.3768;25.3989
1032.72709;1.82396;0.00618;22.5947;22.5663
1032.62449;1.82414;0.01206;19.8962;19.8693
1032.5219;1.82432;0.02333;17.2897;17.2817
1032.41933;1.8245;0.04167;14.7781;14.8021
1032.31679;1.82468;0.07316;12.3923;12.445
1032.21426;1.82486;0.12142;10.1932;10.2346
1032.11175;1.82505;0.20034;8.17341;8.19815
1032.00927;1.82523;0.31089;6.41276;6.36251
1031.9068;1.82541;0.34671;4.87107;4.75023
1031.80436;1.82559;0.33495;3.45517;3.3774
1031.70193;1.82577;0.46958;2.23352;2.2521
1031.59953;1.82595;0.68905;1.3174;1.37373
1031.49714;1.82613;0.88914;0.668;0.73292
1031.39478;1.82631;1;0.22406;0.31209
1031.29244;1.8265;0.92503;0;0.08634
1031.19011;1.82668;0.77088;0;0.02482
1031.08781;1.82686;0.60339;0.16062;0.09226
1030.98553;1.82704;0.46827;0.36188;0.25061
1030.88327;1.82722;0.34798;0.62205;0.46081
1030.78103;1.8274;0.18218;0.89937;0.68436
1030.6788;1.82758;0.09944;0.79985;0.88482
1030.5766;1.82776;0.24779;0.62291;1.02891
1030.47442;1.82795;0.53416;0.87147;1.08732
1030.37226;1.82813;0.52027;1.17019;1.03492
1030.27012;1.82831;0.21373;1.20146;0.85045
1030.168;1.82849;0.10486;0.41308;0.51541
1030.0659;1.82867;0.15525;-0.09222;0.01221
1029.96382;1.82885;0.05954;-0.38787;-0.67866
1029.86176;1.82903;0.01167;-1.93434;-1.58248
1029.75972;1.82921;0.01659;-2.61096;-2.73525
1029.6577;1.8294;0.00076;-2.86838;-4.18999
1029.55571;1.82958;0.00185;-5.83122;-6.02425
1029.45373;1.82976;0.00193;-6.05539;-8.34916
1029.35177;1.82994;0.00044;-6.12092;-11.3201
1029.24983;1.83012;0.00022;-5.98192;-15.1487
1029.14791;1.8303;0.00007;-6.63384;-20.1175
1029.04601;1.83048;0.00006;-4.62614;-26.595
1028.94414;1.83066;0.00018;-5.45989;-35.0542
1028.84228;1.83085;0.00008;;
1028.74044;1.83103;0.00007;;
1028.63862;1.83121;0.00008;;
1028.53683;1.83139;0.00007;;
1028.43505;1.83157;0.00002;;
1028.33329;1.83175;0.00004;;
1028.23156;1.83193;0.00001;;
1028.12984;1.83211;0.00001;;
1028.02814;1.8323;0.00001;;
1027.92647;1.83248;0;;
1027.82481;1.83266;0;;
1027.72318;1.83284;0;;
1027.62156;1.83302;0;;
1027.51996;1.8332;0;;
1027.41839;1.83338;0;;
1027.31683;1.83356;0;;
1027.2153;1.83375;0;;
1027.11378;1.83393;0;;
1027.01229;1.83411;0;;
1026.91081;1.83429;0;;
1026.80936;1.83447;0;;
1026.70792;1.83465;0;;
1026.6065;1.83483;0;;
1026.50511;1.83501;0;;
1026.40373;1.8352;0;;
1026.30238;1.83538;0;;
1026.20104;1.83556;0;;
1026.09973;1.83574;0;;
1025.99843;1.83592;0;;
1025.89716;1.8361;0;;
1025.7959;1.83628;0;;
1025.69467;1.83646;0;;
1025.59345;1.83665;0;;
1025.49226;1.83683;0;;
1025.39108;1.83701;0;;
1025.28993;1.83719;0;;
1025.18879;1.83737;0;;
1025.08768;1.83755;0;;
1024.98658;1.83773;0;;
1024.88551;1.83791;0;;
1024.78445;1.8381;0;;
