Time (fs);Temporal profile (arb. u.);FTL temporal profile (arb. u.);Temporal phase (rad)
-17333.925;0.00047;0;-31.6666
-17060.9498;0.00053;0;-31.2095
-16787.97461;0.00061;0;-30.7448
-16514.99941;0.00069;0;-30.3026
-16242.02421;0.00073;0;-29.8789
-15969.04902;0.00073;0.00001;-29.4508
-15696.07382;0.00072;0.00001;-29.0046
-15423.09862;0.00071;0.00001;-28.5433
-15150.12343;0.00072;0.00001;-28.0741
-14877.14823;0.00075;0.00001;-27.5995
-14604.17303;0.00079;0.00001;-27.1161
-14331.19783;0.00084;0.00001;-26.6175
-14058.22264;0.00091;0.00002;-26.1017
-13785.24744;0.00099;0.00003;-25.5711
-13512.27224;0.00109;0.00004;-25.0257
-13239.29705;0.00122;0.00004;-24.4644
-12966.32185;0.00137;0.00003;-23.8885
-12693.34665;0.00157;0.00002;-23.2996
-12420.37146;0.00181;0.00003;-22.7017
-12147.39626;0.00211;0.00005;-22.1025
-11874.42106;0.00243;0.00007;-21.5034
-11601.44587;0.00275;0.00008;-20.8983
-11328.47067;0.0031;0.00007;-20.2853
-11055.49547;0.00351;0.00004;-19.6699
-10782.52028;0.00399;0.00002;-19.0563
-10509.54508;0.00451;0.00002;-18.4435
-10236.56988;0.00505;0.00005;-17.8283
-9963.59469;0.00561;0.00008;-17.2072
-9690.61949;0.00621;0.00008;-16.5775
-9417.64429;0.00684;0.00006;-15.9376
-9144.66909;0.00757;0.00002;-15.2889
-8871.6939;0.00839;0;-14.6363
-8598.7187;0.00924;0.00007;-13.9833
-8325.7435;0.01002;0.00024;-13.3265
-8052.76831;0.01077;0.00044;-12.6608
-7779.79311;0.01162;0.00052;-11.9855
-7506.81791;0.01271;0.0004;-11.3036
-7233.84272;0.01416;0.00017;-10.6177
-6960.86752;0.01606;0.00009;-9.92783
-6687.89232;0.01865;0.00046;-9.23148
-6414.91713;0.02249;0.00134;-8.52766
-6141.94193;0.02856;0.0024;-7.82031
-5868.96673;0.03866;0.00305;-7.11835
-5595.99154;0.05581;0.00281;-6.43525
-5323.01634;0.08461;0.00178;-5.78494
-5050.04114;0.13088;0.00065;-5.17571
-4777.06594;0.2007;0.00019;-4.60855
-4504.09075;0.29873;0.00058;-4.08091
-4231.11555;0.42523;0.0012;-3.5896
-3958.14035;0.5729;0.00124;-3.13155
-3685.16516;0.72591;0.00059;-2.70456
-3412.18996;0.86174;0.0003;-2.3078
-3139.21476;0.95768;0.00185;-1.94165
-2866.23957;1;0.00555;-1.6074
-2593.26437;0.98953;0.00942;-1.30645
-2320.28917;0.93906;0.01022;-1.03881
-2047.31398;0.86431;0.00669;-0.80262
-1774.33878;0.77667;0.00363;-0.59575
-1501.36358;0.68394;0.01597;-0.41862
-1228.38839;0.59509;0.06963;-0.2746
-955.41319;0.52047;0.19416;-0.16633
-682.43799;0.46663;0.4036;-0.09119
-409.4628;0.43327;0.66911;-0.04219
-136.4876;0.41618;0.90434;-0.01311
136.4876;0.41113;1;0
409.4628;0.41434;0.90434;0
682.43799;0.42198;0.66911;-0.01211
955.41319;0.43169;0.4036;-0.03696
1228.38839;0.44235;0.19416;-0.07378
1501.36358;0.45146;0.06963;-0.12033
1774.33878;0.4554;0.01597;-0.17603
2047.31398;0.45223;0.00363;-0.24176
2320.28917;0.44149;0.00669;-0.31772
2593.26437;0.42264;0.01022;-0.40394
2866.23957;0.39575;0.00942;-0.50119
3139.21476;0.36203;0.00555;-0.61025
3412.18996;0.32349;0.00185;-0.73202
3685.16516;0.28291;0.0003;-0.86762
3958.14035;0.24299;0.00059;-1.01744
4231.11555;0.20537;0.00124;-1.18186
4504.09075;0.17133;0.0012;-1.36227
4777.06594;0.14204;0.00058;-1.55913
5050.04114;0.11791;0.00019;-1.77013
5323.01634;0.0984;0.00065;-1.99175
5595.99154;0.08264;0.00178;-2.22222
5868.96673;0.07006;0.00281;-2.46228
6141.94193;0.06037;0.00305;-2.71192
6414.91713;0.05306;0.0024;-2.96822
6687.89232;0.04753;0.00134;-3.22792
6960.86752;0.0433;0.00046;-3.48852
7233.84272;0.03999;0.00009;-3.74887
7506.81791;0.03735;0.00017;-4.01059
7779.79311;0.03534;0.0004;-4.27561
8052.76831;0.03397;0.00052;-4.54375
8325.7435;0.03311;0.00044;-4.81386
8598.7187;0.03256;0.00024;-5.08481
8871.6939;0.03201;0.00007;-5.3566
9144.66909;0.03128;0;-5.63088
9417.64429;0.03046;0.00002;-5.90961
9690.61949;0.02974;0.00006;-6.19441
9963.59469;0.02926;0.00008;-6.48743
10236.56988;0.02895;0.00008;-6.7914
10509.54508;0.02851;0.00005;-7.10873
10782.52028;0.02764;0.00002;-7.44014
11055.49547;0.02606;0.00002;-7.78513
11328.47067;0.02372;0.00004;-8.14559
11601.44587;0.02086;0.00007;-8.52749
11874.42106;0.01784;0.00008;-8.93779
12147.39626;0.01493;0.00007;-9.37983
12420.37146;0.01222;0.00005;-9.84958
12693.34665;0.00962;0.00003;-10.3352
12966.32185;0.00703;0.00002;-10.8267
13239.29705;0.00463;0.00003;-11.3245
13512.27224;0.00269;0.00004;-11.8376
13785.24744;0.00139;0.00004;-12.3856
14058.22264;0.00069;0.00003;-12.9927
14331.19783;0.00038;0.00002;-13.643
14604.17303;0.00025;0.00001;-14.2467
14877.14823;0.00018;0.00001;-14.7328
15150.12343;0.00012;0.00001;-15.108
15423.09862;0.00007;0.00001;-15.375
15696.07382;0.00004;0.00001;-15.4432
15969.04902;0.00003;0.00001;-15.1251
16242.02421;0.00005;0.00001;-14.5407
16514.99941;0.00011;0;-14.1172
16787.97461;0.0002;0;-13.8018
17060.9498;0.00031;0;-13.4846
17333.925;0.0004;0;-13.1237
