Time (fs);Temporal profile (arb. u.);FTL temporal profile (arb. u.);Temporal phase (rad)
-17333.925;0.00001;;
-17060.9498;0.00001;;
-16787.97461;0;;
-16514.99941;0;;
-16242.02421;0.00001;;
-15969.04902;0;;
-15696.07382;0.00001;;
-15423.09862;0.00004;;
-15150.12343;0.00009;;
-14877.14823;0.00014;0.00004;-3.75094
-14604.17303;0.00016;0.00005;-3.656
-14331.19783;0.00018;0.00005;-3.54564
-14058.22264;0.00023;0.00007;-3.47606
-13785.24744;0.00034;0.00009;-3.43403
-13512.27224;0.00054;0.00014;-3.40091
-13239.29705;0.00088;0.00021;-3.32015
-12966.32185;0.00137;0.00025;-3.16568
-12693.34665;0.00214;0.00023;-2.94811
-12420.37146;0.00328;0.00015;-2.67664
-12147.39626;0.00495;0.00008;-2.38613
-11874.42106;0.00721;0.00009;-2.07933
-11601.44587;0.01004;0.00016;-1.76502
-11328.47067;0.01329;0.00024;-1.43766
-11055.49547;0.01673;0.00026;-1.10009
-10782.52028;0.02025;0.00024;-0.75163
-10509.54508;0.02355;0.0002;-0.3969
-10236.56988;0.02651;0.00025;-0.03896
-9963.59469;0.02893;0.00042;0.31991
-9690.61949;0.03085;0.00072;0.6732
-9417.64429;0.03219;0.00104;1.01367
-9144.66909;0.03277;0.00122;1.33084
-8871.6939;0.03226;0.0012;1.61709
-8598.7187;0.03051;0.00104;1.86481
-8325.7435;0.02771;0.00089;2.0689
-8052.76831;0.0244;0.0009;2.22474
-7779.79311;0.02125;0.00119;2.33576
-7506.81791;0.01864;0.00177;2.41089
-7233.84272;0.01647;0.00253;2.46793
-6960.86752;0.01418;0.00319;2.51879
-6687.89232;0.01124;0.00342;2.56136
-6414.91713;0.00748;0.00308;2.55625
-6141.94193;0.00391;0.00226;2.36441
-5868.96673;0.00294;0.0013;1.6971
-5595.99154;0.0084;0.00055;1.16244
-5323.01634;0.02505;0.00026;1.05391
-5050.04114;0.05804;0.0005;1.08497
-4777.06594;0.11211;0.00128;1.15558
-4504.09075;0.19054;0.00263;1.23364
-4231.11555;0.29331;0.00458;1.30796
-3958.14035;0.41749;0.00692;1.37347
-3685.16516;0.5592;0.00907;1.43059
-3412.18996;0.7132;0.01036;1.48481
-3139.21476;0.86305;0.01075;1.54504
-2866.23957;0.97291;0.01081;1.61553
-2593.26437;1;0.01114;1.69311
-2320.28917;0.92168;0.01139;1.76788
-2047.31398;0.75595;0.01004;1.82673
-1774.33878;0.5497;0.0066;1.85637
-1501.36358;0.34892;0.0084;1.84142
-1228.38839;0.18419;0.03828;1.74146
-955.41319;0.08087;0.13329;1.41402
-682.43799;0.06075;0.3259;0.68916
-409.4628;0.12718;0.60658;0.18729
-136.4876;0.25067;0.88118;0.03318
136.4876;0.37884;1;0
409.4628;0.46259;0.88118;0
682.43799;0.4745;0.60658;0.00081
955.41319;0.41066;0.3259;-0.01597
1228.38839;0.2913;0.13329;-0.07955
1501.36358;0.16455;0.03828;-0.26785
1774.33878;0.09191;0.0084;-0.74283
2047.31398;0.10633;0.0066;-1.37834
2320.28917;0.18373;0.01004;-1.74127
2593.26437;0.26504;0.01139;-1.92227
2866.23957;0.29987;0.01114;-2.05227
3139.21476;0.27125;0.01081;-2.19767
3412.18996;0.20324;0.01075;-2.42116
3685.16516;0.14523;0.01036;-2.78923
3958.14035;0.13097;0.00907;-3.26718
4231.11555;0.15153;0.00692;-3.6893
4504.09075;0.17435;0.00458;-4.0128
4777.06594;0.17576;0.00263;-4.29352
5050.04114;0.15181;0.00128;-4.58704
5323.01634;0.11628;0.0005;-4.94878
5595.99154;0.0908;0.00026;-5.41874
5868.96673;0.08675;0.00055;-5.93719
6141.94193;0.09458;0.0013;-6.39617
6414.91713;0.09873;0.00226;-6.79707
6687.89232;0.09323;0.00308;-7.19102
6960.86752;0.08086;0.00342;-7.61988
7233.84272;0.06991;0.00319;-8.11618
7506.81791;0.06728;0.00253;-8.64393
7779.79311;0.06806;0.00177;-9.14154
8052.76831;0.0646;0.00119;-9.62677
8325.7435;0.05922;0.0009;-10.1444
8598.7187;0.056;0.00089;-10.6745
8871.6939;0.05241;0.00104;-11.1942
9144.66909;0.04723;0.0012;-11.7196
9417.64429;0.04232;0.00122;-12.2709
9690.61949;0.04014;0.00104;-12.8327
9963.59469;0.0384;0.00072;-13.3781
10236.56988;0.03436;0.00042;-13.9373
10509.54508;0.02995;0.00025;-14.5587
10782.52028;0.02774;0.0002;-15.2138
11055.49547;0.02568;0.00024;-15.8571
11328.47067;0.02183;0.00026;-16.5016
11601.44587;0.01737;0.00024;-17.1832
11874.42106;0.01389;0.00016;-17.8884
12147.39626;0.01109;0.00009;-18.5815
12420.37146;0.00803;0.00008;-19.2618
12693.34665;0.00535;0.00015;-19.9875
12966.32185;0.00363;0.00023;-20.7561
13239.29705;0.00253;0.00025;-21.5148
13512.27224;0.00157;0.00021;-22.2588
13785.24744;0.00085;0.00014;-23.0816
14058.22264;0.00055;0.00009;-23.9869
14331.19783;0.00037;0.00007;-24.7695
14604.17303;0.00021;0.00005;-25.63
14877.14823;0.0002;0.00005;-26.5178
15150.12343;0.00021;0.00004;-27.1117
15423.09862;0.00015;0.00002;-27.7186
15696.07382;0.00013;0.00001;-28.4955
15969.04902;0.00014;0;-29.1483
16242.02421;0.00011;0;-29.6644
16514.99941;0.00008;;
16787.97461;0.00005;;
17060.9498;0.00002;;
17333.925;0.00001;;
