Wavelength (nm);Pulsation (Prad);Spectral intensity (arb. u.);Spectral phase (rad);Phase fit (rad)
1037.78615;1.81507;0;;
1037.68253;1.81525;0;;
1037.57894;1.81543;0;;
1037.47536;1.81561;0;;
1037.37181;1.81579;0;;
1037.26828;1.81597;0;;
1037.16477;1.81615;0;;
1037.06128;1.81634;0;;
1036.9578;1.81652;0;;
1036.85435;1.8167;0;;
1036.75092;1.81688;0;;
1036.64752;1.81706;0;;
1036.54413;1.81724;0;;
1036.44076;1.81742;0;;
1036.33741;1.8176;0;;
1036.23409;1.81779;0;;
1036.13078;1.81797;0;;
1036.0275;1.81815;0;;
1035.92423;1.81833;0;;
1035.82099;1.81851;0;;
1035.71776;1.81869;0;;
1035.61456;1.81887;0;;
1035.51138;1.81905;0;;
1035.40822;1.81924;0;;
1035.30507;1.81942;0;;
1035.20195;1.8196;0;;
1035.09885;1.81978;0;;
1034.99577;1.81996;0;;
1034.89272;1.82014;0;;
1034.78968;1.82032;0;;
1034.68666;1.8205;0;;
1034.58366;1.82069;0;;
1034.48068;1.82087;0;;
1034.37773;1.82105;0;;
1034.27479;1.82123;0;;
1034.17188;1.82141;0;;
1034.06898;1.82159;0;;
1033.96611;1.82177;0;;
1033.86325;1.82195;0;;
1033.76042;1.82214;0;;
1033.6576;1.82232;0;;
1033.55481;1.8225;0;;
1033.45204;1.82268;0;;
1033.34929;1.82286;0;;
1033.24656;1.82304;0.00002;;
1033.14385;1.82322;0.00003;;
1033.04115;1.8234;0.00007;;
1032.93848;1.82359;0.00011;14.2523;22.5833
1032.83583;1.82377;0.00028;12.6032;17.0325
1032.73321;1.82395;0.0009;11.3852;13.229
1032.6306;1.82413;0.0018;10.051;10.6103
1032.52801;1.82431;0.00425;8.73411;8.76487
1032.42544;1.82449;0.01055;7.47763;7.40235
1032.32289;1.82467;0.02859;6.32933;6.32717
1032.22036;1.82485;0.07165;5.38136;5.41617
1032.11786;1.82504;0.13948;4.55834;4.59948
1032.01537;1.82522;0.23107;3.78851;3.84451
1031.9129;1.8254;0.35845;3.11266;3.1428
1031.81046;1.82558;0.467;2.54649;2.49959
1031.70803;1.82576;0.5004;2.02862;1.92574
1031.60563;1.82594;0.4985;1.5375;1.43177
1031.50324;1.82612;0.47548;1.12402;1.02395
1031.40088;1.8263;0.3941;0.72519;0.70192
1031.29853;1.82649;0.43408;0.24405;0.45784
1031.19621;1.82667;0.72478;0;0.27673
1031.0939;1.82685;0.99945;0;0.13769
1030.99162;1.82703;1;0.05377;0.01591
1030.88936;1.82721;0.77009;0.05344;-0.11484
1030.78711;1.82739;0.48948;-0.05042;-0.2796
1030.68489;1.82757;0.27231;-0.28529;-0.49948
1030.58269;1.82775;0.14514;-0.6929;-0.78931
1030.48051;1.82794;0.09672;-1.2712;-1.15564
1030.37835;1.82812;0.09069;-1.8306;-1.59564
1030.2762;1.8283;0.08883;-2.28826;-2.09682
1030.17408;1.82848;0.07974;-2.71686;-2.63809
1030.07198;1.82866;0.06693;-3.15875;-3.19223
1029.9699;1.82884;0.05336;-3.61801;-3.73006
1029.86784;1.82902;0.04033;-4.09123;-4.22654
1029.7658;1.8292;0.02854;-4.57495;-4.66914
1029.66378;1.82939;0.01866;-5.06869;-5.06852
1029.56178;1.82957;0.01126;-5.57728;-5.47193
1029.4598;1.82975;0.0063;-6.10812;-5.9796
1029.35784;1.82993;0.00335;-6.66554;-6.76411
1029.2559;1.83011;0.00171;-7.24101;-8.09331
1029.15398;1.83029;0.00083;-7.82758;-10.3568
1029.05208;1.83047;0.00038;-8.43183;-14.0963
1028.9502;1.83065;0.00016;-9.07637;-20.0402
1028.84834;1.83084;0.00006;;
1028.74651;1.83102;0.00002;;
1028.64469;1.8312;0.00001;;
1028.54289;1.83138;0;;
1028.44111;1.83156;0;;
1028.33935;1.83174;0;;
1028.23762;1.83192;0;;
1028.1359;1.8321;0;;
1028.0342;1.83228;0;;
1027.93252;1.83247;0;;
1027.83087;1.83265;0;;
1027.72923;1.83283;0;;
1027.62761;1.83301;0;;
1027.52601;1.83319;0;;
1027.42444;1.83337;0;;
1027.32288;1.83355;0;;
1027.22134;1.83373;0;;
1027.11983;1.83392;0;;
1027.01833;1.8341;0;;
1026.91685;1.83428;0;;
1026.8154;1.83446;0;;
1026.71396;1.83464;0;;
1026.61254;1.83482;0;;
1026.51115;1.835;0;;
1026.40977;1.83518;0;;
1026.30841;1.83537;0;;
1026.20708;1.83555;0;;
1026.10576;1.83573;0;;
1026.00447;1.83591;0;;
1025.90319;1.83609;0;;
1025.80193;1.83627;0;;
1025.7007;1.83645;0;;
1025.59948;1.83663;0;;
1025.49828;1.83682;0;;
1025.39711;1.837;0;;
1025.29595;1.83718;0;;
1025.19481;1.83736;0;;
1025.0937;1.83754;0;;
1024.9926;1.83772;0;;
1024.89152;1.8379;0;;
1024.79047;1.83808;0;;
