Time (fs);Temporal profile (arb. u.);FTL temporal profile (arb. u.);Temporal phase (rad)
-17333.925;0;;
-17060.9498;0;;
-16787.97461;0;;
-16514.99941;0;;
-16242.02421;0;;
-15969.04902;0;;
-15696.07382;0;;
-15423.09862;0;;
-15150.12343;0;;
-14877.14823;0;;
-14604.17303;0;;
-14331.19783;0;;
-14058.22264;0;;
-13785.24744;0;;
-13512.27224;0;;
-13239.29705;0;;
-12966.32185;0.00001;;
-12693.34665;0.00001;;
-12420.37146;0.00001;;
-12147.39626;0.00001;;
-11874.42106;0.00002;;
-11601.44587;0.00003;;
-11328.47067;0.00004;;
-11055.49547;0.00005;;
-10782.52028;0.00008;;
-10509.54508;0.00013;0.00004;-1.07178
-10236.56988;0.0002;0.00005;-1.1363
-9963.59469;0.0003;0.00007;-1.20124
-9690.61949;0.00043;0.00009;-1.26071
-9417.64429;0.00059;0.00011;-1.31189
-9144.66909;0.0008;0.00013;-1.35613
-8871.6939;0.00105;0.00013;-1.39881
-8598.7187;0.00136;0.00013;-1.44633
-8325.7435;0.00171;0.00013;-1.50176
-8052.76831;0.00209;0.00012;-1.56334
-7779.79311;0.00248;0.00011;-1.6259
-7506.81791;0.00287;0.00012;-1.68218
-7233.84272;0.00328;0.00014;-1.72343
-6960.86752;0.00377;0.00018;-1.74194
-6687.89232;0.00444;0.00024;-1.73569
-6414.91713;0.00546;0.00035;-1.71108
-6141.94193;0.00698;0.00052;-1.67814
-5868.96673;0.00915;0.00077;-1.64262
-5595.99154;0.01206;0.00114;-1.60421
-5323.01634;0.01582;0.00167;-1.56057
-5050.04114;0.02056;0.00246;-1.5106
-4777.06594;0.02627;0.00359;-1.45478
-4504.09075;0.03281;0.00519;-1.39417
-4231.11555;0.03985;0.0073;-1.32938
-3958.14035;0.04697;0.00973;-1.26007
-3685.16516;0.05383;0.01193;-1.18471
-3412.18996;0.06023;0.01304;-1.101
-3139.21476;0.06621;0.0122;-1.00653
-2866.23957;0.07196;0.00911;-0.89968
-2593.26437;0.07778;0.00474;-0.78019
-2320.28917;0.08402;0.0017;-0.64917
-2047.31398;0.09137;0.00314;-0.50918
-1774.33878;0.10144;0.01118;-0.36608
-1501.36358;0.11697;0.02924;-0.23105
-1228.38839;0.14169;0.07121;-0.11875
-955.41319;0.18081;0.16956;-0.04145
-682.43799;0.24249;0.35968;-0.00292
-409.4628;0.33874;0.63151;0.00502
-136.4876;0.48149;0.8909;0
136.4876;0.66904;1;0
409.4628;0.86664;0.8909;0.01526
682.43799;1;0.63151;0.04608
955.41319;0.98514;0.35968;0.08414
1228.38839;0.79022;0.16956;0.11271
1501.36358;0.48194;0.07121;0.09922
1774.33878;0.20084;0.02924;-0.04545
2047.31398;0.06425;0.01118;-0.63263
2320.28917;0.07734;0.00314;-1.55357
2593.26437;0.14498;0.0017;-1.9233
2866.23957;0.17246;0.00474;-2.10279
3139.21476;0.14245;0.00911;-2.29996
3412.18996;0.09635;0.0122;-2.60896
3685.16516;0.06779;0.01304;-3.04112
3958.14035;0.05521;0.01193;-3.49573
4231.11555;0.04527;0.00973;-3.91653
4504.09075;0.03404;0.0073;-4.33872
4777.06594;0.02382;0.00519;-4.79355
5050.04114;0.01593;0.00359;-5.29065
5323.01634;0.01063;0.00246;-5.83702
5595.99154;0.00747;0.00167;-6.40273
5868.96673;0.00514;0.00114;-6.94316
6141.94193;0.00313;0.00077;-7.4913
6414.91713;0.00178;0.00052;-8.09359
6687.89232;0.00101;0.00035;-8.72765
6960.86752;0.00055;0.00024;-9.38437
7233.84272;0.00031;0.00018;-10.0728
7506.81791;0.00017;0.00014;-10.7407
7779.79311;0.00009;;
8052.76831;0.00004;;
8325.7435;0.00002;;
8598.7187;0.00002;;
8871.6939;0.00001;;
9144.66909;0.00001;;
9417.64429;0;;
9690.61949;0;;
9963.59469;0;;
10236.56988;0;;
10509.54508;0;;
10782.52028;0;;
11055.49547;0;;
11328.47067;0;;
11601.44587;0;;
11874.42106;0;;
12147.39626;0;;
12420.37146;0;;
12693.34665;0;;
12966.32185;0;;
13239.29705;0;;
13512.27224;0;;
13785.24744;0;;
14058.22264;0;;
14331.19783;0;;
14604.17303;0;;
14877.14823;0;;
15150.12343;0;;
15423.09862;0;;
15696.07382;0;;
15969.04902;0;;
16242.02421;0;;
16514.99941;0;;
16787.97461;0;;
17060.9498;0;;
17333.925;0;;
