Wavelength (nm);Pulsation (Prad);Spectral intensity (arb. u.);Spectral phase (rad);Phase fit (rad)
1037.84053;1.81497;0;;
1037.73691;1.81515;0;;
1037.6333;1.81533;0;;
1037.52972;1.81552;0;;
1037.42615;1.8157;0;;
1037.32261;1.81588;0;;
1037.21909;1.81606;0;;
1037.11558;1.81624;0;;
1037.0121;1.81642;0;;
1036.90864;1.8166;0;;
1036.8052;1.81678;0;;
1036.70178;1.81697;0;;
1036.59838;1.81715;0;;
1036.495;1.81733;0;;
1036.39164;1.81751;0;;
1036.28831;1.81769;0;;
1036.18499;1.81787;0;;
1036.0817;1.81805;0;;
1035.97842;1.81823;0;;
1035.87516;1.81842;0;;
1035.77193;1.8186;0;;
1035.66872;1.81878;0;;
1035.56552;1.81896;0;;
1035.46235;1.81914;0;;
1035.3592;1.81932;0;;
1035.25607;1.8195;0;;
1035.15296;1.81968;0;;
1035.04987;1.81987;0;;
1034.9468;1.82005;0;;
1034.84375;1.82023;0;;
1034.74072;1.82041;0;;
1034.63771;1.82059;0;;
1034.53472;1.82077;0;;
1034.43175;1.82095;0;;
1034.32881;1.82113;0;;
1034.22588;1.82132;0;;
1034.12298;1.8215;0;;
1034.02009;1.82168;0;;
1033.91723;1.82186;0.00001;;
1033.81438;1.82204;0;;
1033.71156;1.82222;0.00001;;
1033.60875;1.8224;0.00002;;
1033.50597;1.82258;0.00004;;
1033.40321;1.82277;0.00008;;
1033.30047;1.82295;0.00016;33.2253;14.0269
1033.19774;1.82313;0.00032;30.6352;19.6594
1033.09504;1.82331;0.0006;28.0636;22.3673
1032.99236;1.82349;0.00112;25.5273;22.9636
1032.8897;1.82367;0.00187;22.9515;22.1026
1032.78706;1.82385;0.00329;20.3504;20.3018
1032.68444;1.82403;0.00606;17.7964;17.9618
1032.58184;1.82422;0.01079;15.3756;15.3844
1032.47926;1.8244;0.01408;13.07;12.7895
1032.3767;1.82458;0.0117;10.518;10.3292
1032.27417;1.82476;0.04083;7.78622;8.10117
1032.17165;1.82494;0.1831;5.92427;6.16015
1032.06915;1.82512;0.39297;4.47526;4.52805
1031.96667;1.8253;0.50414;3.26766;3.20261
1031.86422;1.82548;0.51324;2.30004;2.16489
1031.76178;1.82567;0.57605;1.55708;1.38547
1031.65936;1.82585;0.75953;0.95639;0.82954
1031.55697;1.82603;0.95138;0.4768;0.46095
1031.45459;1.82621;1;0.15309;0.24533
1031.35224;1.82639;0.92255;0;0.15227
1031.2499;1.82657;0.76052;0;0.15677
1031.14759;1.82675;0.64735;0.15887;0.2399
1031.0453;1.82693;0.55561;0.40995;0.38892
1030.94302;1.82712;0.57639;0.67798;0.59676
1030.84077;1.8273;0.52038;1.01084;0.86109
1030.73853;1.82748;0.4767;1.26676;1.18296
1030.63632;1.82766;0.42719;1.66701;1.56519
1030.53413;1.82784;0.29127;2.00293;2.01047
1030.43196;1.82802;0.30811;2.30597;2.51939
1030.3298;1.8282;0.31997;2.9573;3.08833
1030.22767;1.82838;0.19117;3.72044;3.70747
1030.12556;1.82857;0.07751;4.45493;4.3588
1030.02347;1.82875;0.02234;5.13591;5.01442
1029.9214;1.82893;0.0047;5.54657;5.63503
1029.81935;1.82911;0.00189;5.79083;6.16878
1029.71732;1.82929;0.00085;6.24378;6.55064
1029.6153;1.82947;0.00046;6.52256;6.70216
1029.51331;1.82965;0.00029;6.9784;6.53188
1029.41134;1.82983;0.00014;7.42255;5.9365
1029.30939;1.83001;0.00007;;
1029.20746;1.8302;0.00002;;
1029.10555;1.83038;0.00001;;
1029.00367;1.83056;0.00001;;
1028.9018;1.83074;0;;
1028.79995;1.83092;0;;
1028.69812;1.8311;0;;
1028.59631;1.83128;0;;
1028.49452;1.83146;0;;
1028.39275;1.83165;0;;
1028.291;1.83183;0;;
1028.18928;1.83201;0;;
1028.08757;1.83219;0;;
1027.98588;1.83237;0;;
1027.88421;1.83255;0;;
1027.78256;1.83273;0;;
1027.68094;1.83291;0;;
1027.57933;1.8331;0;;
1027.47774;1.83328;0;;
1027.37617;1.83346;0;;
1027.27463;1.83364;0;;
1027.1731;1.83382;0;;
1027.07159;1.834;0;;
1026.9701;1.83418;0;;
1026.86864;1.83436;0;;
1026.76719;1.83455;0;;
1026.66576;1.83473;0;;
1026.56436;1.83491;0;;
1026.46297;1.83509;0;;
1026.3616;1.83527;0;;
1026.26026;1.83545;0;;
1026.15893;1.83563;0;;
1026.05762;1.83581;0;;
1025.95634;1.836;0;;
1025.85507;1.83618;0;;
1025.75382;1.83636;0;;
1025.65259;1.83654;0;;
1025.55139;1.83672;0;;
1025.4502;1.8369;0;;
1025.34903;1.83708;0;;
1025.24789;1.83726;0;;
1025.14676;1.83745;0;;
1025.04565;1.83763;0;;
1024.94457;1.83781;0;;
1024.8435;1.83799;0;;
