508.188,590.333,0,350.355,0
507.955,590.604,0,344.777,0
507.722,590.875,0,339.223,0
507.489,591.146,0,333.693,0
507.256,591.417,0,328.186,0
507.023,591.689,0,322.691,0
506.79,591.961,0,317.156,0
506.557,592.233,0,311.523,0
506.324,592.506,0,305.89,0
506.091,592.778,0,300.281,0
505.859,593.051,0,294.699,0
505.626,593.324,0,289.144,0
505.393,593.598,0,283.619,0
505.16,593.872,0,278.127,0
504.927,594.145,0,272.672,0
504.694,594.42,0,267.271,0
504.461,594.694,0,261.954,0
504.228,594.969,0,256.73,0
503.995,595.244,0,251.565,0
503.762,595.519,0,246.44,0
503.529,595.794,0,241.348,0
503.296,596.07,0,236.286,0
503.064,596.346,0,231.249,0
502.831,596.622,0,226.223,0
502.598,596.899,0,221.169,0
502.365,597.176,0,216.066,0
502.132,597.453,0,210.959,0
501.899,597.73,0,205.872,0
501.666,598.007,0,200.812,0
501.433,598.285,0,195.781,0
501.2,598.563,0,190.778,0
500.967,598.841,0,185.806,0
500.734,599.12,0,180.863,0
500.502,599.399,0,175.949,0
500.269,599.678,0,171.064,0
500.036,599.957,0,166.206,0
499.803,600.237,0,161.375,0
499.57,600.517,0,156.57,0
499.337,600.797,0,151.789,0
499.104,601.077,0,147.032,0
498.871,601.358,0,142.3,0
498.638,601.639,0,137.593,0
498.405,601.92,0,132.913,0
498.172,602.201,0,128.264,0
497.94,602.483,0,123.647,0
497.707,602.765,0,119.07,0
497.474,603.047,0,114.541,0
497.241,603.329,0,110.066,0
497.008,603.612,0,105.647,0
496.775,603.895,0,101.277,0
496.542,604.178,0,96.947,0
496.309,604.462,0,92.649,0
496.076,604.746,0,88.381,0
495.843,605.03,0,84.138,0
495.61,605.314,0,79.918,0
495.377,605.599,0,75.716,0
495.145,605.884,0,71.525,0
494.912,606.169,0,67.33,0
494.679,606.454,0,63.105,0
494.446,606.74,0,58.849,0
494.213,607.026,0,54.585,0
493.98,607.312,0,50.328,0
493.747,607.599,0,46.085,0
493.514,607.885,0,41.856,0
493.281,608.172,0,37.643,0
493.048,608.46,0,33.444,0
492.815,608.747,0,29.26,0
492.583,609.035,0,25.088,0
492.35,609.323,0,20.931,0
492.117,609.611,0,16.793,0
491.884,609.9,0,12.688,0
491.651,610.189,0,8.634,0
491.418,610.478,0,4.634,0
491.185,610.768,0,0.671,0
490.952,611.058,0,-3.266,0
490.719,611.348,0,-7.183,0
490.486,611.638,0,-11.083,0
490.253,611.928,0,-14.967,0
490.02,612.219,0,-18.839,0
489.788,612.51,0,-22.703,0
489.555,612.802,0,-26.565,0
489.322,613.094,0,-30.432,0
489.089,613.385,0,-34.307,0
488.856,613.678,0,-38.186,0
488.623,613.97,0,-42.06,0
488.39,614.263,0,-45.92,0
488.157,614.556,0,-49.76,0
487.924,614.849,0,-53.575,0
487.691,615.143,0,-57.358,0
487.458,615.437,0,-61.103,0
487.226,615.731,0,-64.806,0
486.993,616.026,0,-68.464,0
486.76,616.321,0,-72.069,0
486.527,616.616,0,-75.593,0
486.294,616.911,0,-79.002,0
486.061,617.206,0,-82.34,0
485.828,617.502,0,-85.641,0
485.595,617.799,0,-88.915,0
485.362,618.095,0,-92.168,0
485.129,618.392,0,-95.403,0
484.896,618.689,0,-98.629,0
484.664,618.986,0,-101.857,0
484.431,619.284,0,-105.111,0
484.198,619.582,0,-108.398,0
483.965,619.88,0,-111.7,0
483.732,620.178,0,-115,0
483.499,620.477,0,-118.288,0
483.266,620.776,0,-121.562,0
483.033,621.075,0,-124.819,0
482.8,621.375,0,-128.059,0
482.567,621.675,0,-131.279,0
482.334,621.975,0,-134.476,0
482.101,622.276,0,-137.645,0
481.869,622.576,0,-140.778,0
481.636,622.877,0,-143.861,0
481.403,623.179,0,-146.893,0
481.17,623.48,0,-149.885,0
480.937,623.782,0,-152.85,0
480.704,624.085,0,-155.798,0
480.471,624.387,0,-158.733,0
480.238,624.69,0,-161.661,0
480.005,624.993,0,-164.586,0
479.772,625.297,0,-167.51,0
479.539,625.6,0,-170.435,0
479.307,625.904,0,-173.362,0
479.074,626.209,0,-176.289,0
478.841,626.513,0,-179.213,0
478.608,626.818,0,-182.129,0
478.375,627.123,0,-185.029,0
478.142,627.429,0,-187.889,0
477.909,627.734,0,-190.667,0
477.676,628.041,0,-193.375,0
477.443,628.347,0,-196.047,0
477.21,628.654,0,-198.697,0
476.977,628.961,0,-201.33,0
476.745,629.268,0,-203.946,0
476.512,629.575,0,-206.545,0
476.279,629.883,0,-209.128,0
476.046,630.192,0,-211.692,0
475.813,630.5,0,-214.231,0
475.58,630.809,0,-216.708,0
475.347,631.118,0,-219.038,0
475.114,631.427,0,-221.308,0
474.881,631.737,0,-223.554,0
474.648,632.047,0,-225.78,0
474.415,632.357,0,-227.987,0
474.182,632.668,0,-230.176,0
473.95,632.979,0,-232.346,0
473.717,633.29,0,-234.498,0
473.484,633.601,0,-236.633,0
473.251,633.913,0,-238.733,0
473.018,634.225,0,-240.699,0
472.785,634.538,0,-242.539,0
472.552,634.851,0,-244.344,0
472.319,635.164,0,-246.133,0
472.086,635.477,0,-247.904,0
471.853,635.791,0,-249.671,0
471.62,636.105,0,-251.494,0
471.388,636.419,0,-253.396,0
471.155,636.734,0,-255.308,0
470.922,637.049,0,-257.203,0
470.689,637.364,0,-259.076,0
470.456,637.679,0,-260.925,0
470.223,637.995,0,-262.748,0
469.99,638.311,0,-264.538,0
469.757,638.628,0,-266.284,0
469.524,638.945,0,-267.953,0
469.291,639.262,0,-269.527,0
469.058,639.579,0,-271.034,0
